"","Alchorne","Syzygium","Fagara","Graminea","Bridelia","Pteridop","Indeterm","Polygonu","Cyperace","Amaranth","Composit","Dodonaea","Macarang","Phyllant","Ficus","Nymphaea","Podocarp","Canthium","Allophyl","Typha","Acalypha","Euphorbi","Hypericu","Hymenoca","Myrica","Jasminum","Solanum","Grewia","Pygeum","Umbellif","Urticace","Tribulus","Celtis","Combreta","Ericacea","Impatien","Lorantha","Scheffle","Albizzia","Harungan","Justicia","Rhus","Ilex","Polyscia","Croton","Symphoni","Apodytes","Aloe","Bersama","Olea","Kotschya","Vigna","Polygala","Protea","Hagenia","Prunus","Galinier","Trema","Capparis","Sapium","Pterocar","Ziziphus","Maytenus","Dombeya","Haloraga","Chrysoph","Cissus","Indigofe","Psychotr","Triumfet","Cassipou","Tricalys","Ocimum","Kalancho","Cadaba","Maesa","Carapa.E","Entandro","Strombos","Neobouto","Abutilon","Sideroxy","Lawsonia","Ludwigia","Agrochar","Chron1","Chron10"
"410",0,11,10,76,0,46,7,0,136,2,17,0,9,0,1,2,18,1,0,3,0,1,2,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,49,0,0,1,1,0,0,4,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,10516.818359375,12091.5458984375
"420",0,72,9,98,0,43,4,0,113,5,8,0,9,0,2,6,28,0,0,4,0,0,1,0,0,1,1,0,0,2,1,0,6,2,1,0,0,1,1,0,0,0,4,0,0,0,0,2,0,73,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,1,0,4,1,0,0,5,1,0,0,0,1,10708.63671875,12348.0908203125
"430",0,157,6,51,0,25,6,2,109,1,12,0,13,0,0,6,18,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,5,0,34,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,10900.4541015625,12604.63671875
"440",0,132,10,62,0,40,6,0,127,0,12,0,5,0,0,3,12,0,1,2,0,4,1,0,0,0,0,0,0,1,0,0,2,1,3,0,0,6,0,0,1,0,1,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,5,0,2,1,0,0,4,0,0,0,0,0,11092.2724609375,12861.181640625
"450",0,137,0,63,0,41,8,1,143,0,20,0,4,0,2,3,9,9,0,1,0,0,3,0,0,0,1,3,0,2,0,0,2,0,0,0,0,1,1,0,2,0,2,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11284.0908203125,13117.7275390625
"460",0,134,13,42,0,37,7,0,83,3,24,0,3,1,0,5,15,0,0,1,0,4,3,2,0,0,0,0,0,3,0,0,7,2,0,0,0,2,0,0,1,0,5,0,0,0,0,3,0,32,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,11392.826171875,13259.021484375
"470",0,135,14,40,0,41,9,0,53,0,17,0,7,2,1,7,15,0,1,2,0,0,1,0,0,0,2,1,0,2,0,0,3,0,1,0,1,2,1,0,0,0,5,0,0,0,0,2,0,29,0,0,0,3,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,11418.478515625,13285.0654296875
"480",0,139,15,71,0,40,5,0,79,0,27,0,6,0,0,11,11,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,1,0,36,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,11444.130859375,13311.1083984375
"490",0,79,9,66,0,60,6,0,133,1,12,0,6,0,1,4,15,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,5,1,0,1,0,7,2,2,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,11469.7822265625,13337.15234375
"500",0,106,15,74,0,56,10,0,81,1,22,0,2,0,2,10,11,0,0,1,3,0,5,0,2,0,1,0,0,1,0,0,3,0,0,0,0,8,0,0,0,0,11,2,0,1,0,1,0,32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,8,0,0,11495.4345703125,13363.1953125
"510",0,125,6,52,0,39,0,0,93,1,11,0,5,0,1,5,6,0,0,2,1,3,3,0,0,0,1,1,0,0,0,0,3,0,1,0,0,4,0,0,0,0,4,0,1,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,3,0,0,11521.0869140625,13389.2392578125
"520",0,99,15,39,0,53,7,0,73,0,17,0,4,0,1,3,7,0,1,1,0,1,0,0,0,0,1,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,23,0,0,0,0,1,0,0,0,0,2,0,2,3,0,1,0,0,0,0,0,0,0,1,4,0,4,0,0,0,3,0,0,3,0,0,11546.7392578125,13415.2822265625
"530",0,88,8,81,0,62,6,0,90,2,10,0,3,0,0,6,11,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,11572.3916015625,13441.326171875
"540",0,92,10,79,0,45,4,0,57,4,12,0,6,0,0,5,12,0,0,0,0,0,1,0,1,0,4,2,0,0,0,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,30,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,11598.0439453125,13467.369140625
