"","Dacryode","Diospyro","Alchorne","Antidesm","Pentacle","Pentacle.1","Pycnanth","Syzygium","Amaranth","Ligulifl","Sapotace","Graminea","Elaeis.g","Tubulifl","Tapinant","Acridoca","Celastra","Indeterm","Indeterm.1","Croton.t","Tetrorch","Cyperace","Acanthac","Monocoty","Anthocle","Moraceae","Ficus","Campylos","Tiliacea","Rubiacea","Allophyl","Typha","Monolete","Triletes","Caesalpi","Adansoni","Vernonie","Evolvulu","Acalypha","Euphorbi","Margarit","Phyllant","Plagiost","Psorospe","Hymenoca","Iodes","Raphiost","Legumino","Hugonia.","Flabella","Abutilon","Entandro","Entada.t","Tetraple","Trilepis","Nymphaea","Polygonu","Polygonu.1","Parinari","Aidia.ty","Canthium","Canthium.1","Hymenodi","Pausinys","Teclea.t","Paullini","Holoptel","Trema.ty","Verbenac","Cissus.t","Anthocer","Sphagnum","Lygodium","Hypoeste","Achyrant","Heliotro","Crudia.t","Cleistan","Papilion","Albizzia","Gardenia","Umbellif","Urticace","Anacardi","Celtis","Combreta","Euphorbi.1","Gentiana","Impatien","Labiatae","Lannea.t","Phoenix.","Rhamnace","Sapindac","Rauvolfi","Ranalism","Hymenost","Clematis","Alternan","Mangifer","Polyscia","Ceiba.pe","Phyllant.1","Mimosoid","Mimosa.p","Cussonia","Piliosti","Martreti","Uapaca.h","Macarang","Podocarp","Sherbour","Strombos","Ludwigia","Tarenna.","Monolete.1","Trilete.","Celosia.","Zanthoxy","Amaranth.1","Antrocar","Alstonia","Scheffle","Ehretia.","Gilberti","Julberna","Scorodop","Commelin","Commelin.1","Coccina.","Bridelia","Lingelsh","Uapaca.g","Calpocal","Myrianth","Borassus","Raphia.t","Pterocar","Crossopt","Fadogia.","Gardenia.1","Hallea.t","Zanthoxy.1","Ganophyl","Irvingia","Chron1","Chron10","Chron20"
"199",0,0,45,1,0,0,0,5,0,0,1,4,0,1,0,7,0,35,44,0,2,21,0,0,0,7,2,1,1,7,0,0,31,1,4,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,1,2,0,0,0,0,0,0,0,0,3,1,3,0,0,1,3,0,56,2,0,0,0,0,9,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,2,0,0,0,0,4,0,0,7,0,0,0,3,0,0,6,0,0,7,0,3,0,0,0,1,0,0,4644.54541015625,5321.36376953125,5332.13623046875
"204",0,2,51,0,0,0,1,2,0,0,0,0,0,0,2,5,1,36,46,1,1,24,0,0,1,9,1,0,0,4,0,0,31,1,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,1,2,2,0,1,0,0,0,0,0,2,0,14,1,2,0,0,3,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,57,0,2,0,0,0,21,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,3,0,0,13,0,0,14,0,0,0,0,1,0,0,3,4686.75341796875,5377.59716796875,5383.759765625
"211.2",1,2,45,0,0,1,0,2,0,0,0,1,0,0,2,3,2,37,37,0,0,10,0,0,0,6,2,0,0,4,2,1,17,3,0,0,0,0,1,0,19,0,0,1,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,24,2,0,1,0,1,0,0,0,0,0,0,1,4,3,4,0,0,0,0,0,54,6,0,0,0,0,28,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,5,2,2,0,4,0,0,0,0,7,2,1,1,0,0,0,3,0,0,11,0,0,5,0,0,0,0,0,0,1,2,4747.5322265625,5458.57421875,5458.09716796875
"220.5",0,0,32,0,0,0,0,2,1,0,0,0,0,2,2,3,0,29,43,0,0,14,0,0,0,10,2,0,2,13,0,0,31,1,0,0,0,0,0,0,5,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,20,0,0,2,0,2,0,0,0,0,0,0,0,9,4,2,0,0,0,3,0,53,7,3,0,0,0,7,3,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,1,0,3,0,0,1,0,4,1,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,1,2,4826.0390625,5563.1689453125,5554.11669921875
"229.5",0,0,39,0,0,0,0,2,0,0,1,0,0,1,0,3,0,37,37,0,5,14,0,0,0,22,5,1,0,11,0,0,23,2,0,0,0,0,0,0,2,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,2,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,6,0,59,3,2,0,0,0,11,4,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,13,1,0,0,0,1,2,1,0,1,0,0,0,0,3,1,0,3,0,0,0,5,0,0,6,0,0,5,0,2,0,0,0,0,1,2,4902.01318359375,5664.3896484375,5647.0390625
"239.5",0,4,43,0,0,0,3,1,0,0,1,3,0,1,0,3,0,43,36,0,6,8,1,0,0,13,0,0,3,10,1,1,19,1,1,0,0,0,0,0,1,0,0,0,0,1,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,28,1,0,2,1,2,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,60,2,1,0,3,0,11,3,0,0,0,0,7,0,0,0,1,2,0,1,0,0,0,0,0,15,0,0,0,0,3,3,0,0,1,0,0,0,0,6,1,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,3,4951.34033203125,5743.728515625,5706.23876953125
"249",0,3,51,0,0,0,0,4,0,0,2,1,0,0,0,6,1,36,43,0,8,6,0,1,0,25,3,0,2,3,0,0,27,0,1,0,0,0,0,0,3,0,0,0,1,0,0,8,0,2,0,0,1,0,0,0,0,0,1,0,0,1,6,17,1,1,1,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,3,0,40,3,0,0,0,0,29,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,13,0,0,0,0,2,2,0,0,1,0,0,1,0,5,0,0,2,0,1,0,3,0,0,9,2,0,4,0,3,0,0,0,0,0,1,4970.927734375,5793.3505859375,5728.2421875
"258.2",0,2,35,0,0,0,0,3,0,0,0,2,0,0,2,3,2,34,36,0,8,13,0,0,0,24,0,2,2,9,0,0,35,4,2,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,19,1,1,0,0,1,0,0,0,0,0,0,0,2,5,1,0,0,0,5,0,31,3,1,1,0,1,19,2,0,0,0,0,8,0,0,0,1,2,1,0,0,0,0,0,0,19,1,0,0,0,5,2,0,0,1,0,0,2,0,3,0,0,0,0,0,0,5,0,0,6,1,0,3,0,0,0,0,1,0,0,2,4989.89697265625,5841.40576171875,5749.55078125
"267.5",0,1,54,0,0,0,2,0,0,0,0,0,0,0,2,4,2,31,27,0,4,13,0,1,0,29,5,0,0,4,0,0,45,2,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,13,17,0,3,4,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,26,4,0,0,0,1,23,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,1,4,1,0,1,0,0,0,0,5,0,1,3,1,0,0,3,0,0,3,0,0,2,0,1,0,0,0,0,1,2,5009.072265625,5889.98291015625,5771.09130859375
"279.5",0,0,50,0,0,0,0,1,0,0,0,3,0,0,1,3,0,24,24,0,2,17,0,0,0,23,0,0,0,9,0,0,54,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,2,0,0,0,0,21,4,0,0,0,0,3,0,0,0,2,7,0,0,1,0,0,0,0,23,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,3,0,0,0,4,1,1,9,0,0,0,0,1,0,0,0,1,0,4,5033.814453125,5952.6630859375,5798.884765625
"289",0,1,55,0,0,0,0,0,0,0,1,5,0,1,0,2,0,22,32,1,1,14,0,0,0,33,2,0,1,8,0,0,59,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,27,0,2,2,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,26,3,0,0,1,1,17,5,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,16,0,0,0,0,1,5,1,1,1,0,0,0,0,2,2,0,1,0,0,0,3,0,0,6,0,0,4,0,2,0,0,0,0,0,1,5053.40185546875,6002.28515625,5820.88818359375
"298",0,1,43,0,0,0,1,5,0,0,0,5,0,3,0,1,0,34,29,0,4,10,0,0,1,27,2,0,3,12,0,0,44,3,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,4,0,32,1,2,0,0,0,22,10,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,6,0,1,0,0,0,5,2,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,3,5071.958984375,6049.29541015625,5841.73388671875
"308",0,4,53,0,0,0,0,0,0,0,1,1,0,2,0,2,2,31,33,0,4,11,0,1,0,29,1,1,0,5,0,0,67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,1,1,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,31,1,0,0,0,0,14,11,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,1,0,0,2,0,4,0,0,0,1,0,0,5,0,0,8,0,0,2,0,0,0,0,0,0,0,3,5092.5771484375,6101.529296875,5864.89501953125
"319.5",0,0,49,0,0,0,0,1,0,0,1,2,0,0,0,1,2,26,35,0,1,17,0,0,0,36,2,0,0,2,0,0,47,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,25,2,0,0,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,8,0,0,0,0,0,0,0,2,3,1,2,0,0,0,0,0,0,3,13,0,3,0,0,0,0,4,0,0,2,5116.28857421875,6161.59814453125,5891.53076171875
"329.5",0,3,24,0,0,0,0,2,0,0,1,0,0,0,0,1,1,30,36,0,1,18,0,0,2,21,3,0,1,8,0,0,81,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,17,0,2,1,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,8,2,1,0,0,0,19,40,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,1,3,0,0,0,0,0,3,0,4,0,0,1,0,0,0,3,0,0,6,6,0,14,0,0,0,0,0,0,0,1,5136.9072265625,6213.83154296875,5914.6923828125
