"","Dracaena","Alchorne","Syzygium","Fagara","Graminea","Pteridop","Indeterm","Polygonu","Cyperace","Amaranth","Composit","Macarang","Phyllant","Ficus","Nymphaea","Podocarp","Canthium","Allophyl","Typha","Acalypha","Euphorbi","Hypericu","Hymenoca","Myrica","Jasminum","Solanum","Grewia","Umbellif","Urticace","Celtis","Combreta","Ericacea","Impatien","Lorantha","Scheffle","Albizzia","Justicia","Rhus","Ilex","Polyscia","Croton","Apodytes","Olea","Kotschya","Vigna","Polygala","Protea","Clematis","Hagenia","Trema","Sapium","Ziziphus","Pavetta","Maytenus","Dombeya","Haloraga","Mitragyn","Cissus","Indigofe","Ocimum","Kalancho","Maesa","Carapa.E","Entandro","Strombos","Neobouto","Abutilon","Basella","Hyptis","Markhami"
"350",1,0,0,0,90,71,2,0,50,5,8,4,0,0,2,33,0,0,0,0,0,2,0,1,0,0,0,1,1,4,0,2,1,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"360",0,0,0,0,99,32,2,0,105,4,10,2,0,0,1,36,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"370",0,0,0,0,116,61,3,0,84,1,27,8,0,0,1,22,0,0,0,0,0,8,0,2,0,0,1,0,1,1,0,5,1,0,0,0,0,0,1,0,0,1,2,0,1,0,2,0,0,0,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"380",1,0,1,1,88,42,0,0,109,5,18,4,0,0,1,62,1,0,2,0,0,5,0,10,0,0,0,1,0,2,0,20,0,0,0,0,0,0,4,1,0,0,6,0,0,0,0,0,0,1,2,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"390",0,0,0,0,95,32,1,0,97,2,27,10,0,0,0,65,0,0,0,0,0,1,0,14,0,0,0,2,0,0,0,21,1,0,2,0,0,0,6,2,0,0,8,0,1,0,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0
"400",0,0,2,0,111,122,0,0,83,0,7,0,0,0,0,65,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,0,0
"410",0,0,2,0,71,86,3,1,81,5,12,1,0,0,2,97,2,0,0,0,0,1,0,5,0,0,0,0,1,0,0,12,6,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"420",0,0,0,1,127,64,2,0,33,1,9,3,0,0,0,72,2,0,0,0,1,0,0,4,0,0,0,0,0,1,0,8,0,0,0,0,0,0,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430",0,0,0,1,155,54,1,1,54,2,15,1,0,0,0,38,1,0,1,0,0,2,0,5,1,0,0,0,0,0,0,6,3,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"440",0,0,2,5,104,52,4,1,28,2,23,17,0,0,0,23,2,0,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,5,1,0,1,2,3,0,0,4,0,0,1,2,0,1,2,2,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,1
