"","Abutilon","Acacia.P","Acalypha","Acanthac","Acridoca","Adenia","Afrormos","Afzelia","Aizoacea","Alchorne","Allanbla","Allophyl","Amaranth","Anthonot","Antidesm","Antrocar","Arecacea","Artemisi","Asphodel","Avicenni","Balanite","Baphia.t","Barleria","Basilicu","Blephari","Blighia.","Bombax","Borassus","Borreria","Boscia.t","Bosqueia","Boswelli","Brachypt","Brachyst","Brassica","Bridelia","Burkea","Butyrosp","Cadaba","Caesalpi","Calamus","Calligon","Caloncob","Calvoa","Calycobo","Canthium","Capparis","Caryophy","Cassia.t","Ceiba.pe","Celastra","Celtis","Centaure","Chrozoph","Clausena","Cleome","Cnestis.","Coccinia","Coffea.t","Cola.nit","Combreta","Commicar","Composit","Composit.1","Composit.2","Conocarp","Corchoru","Crateva","Crossopt","Croton.t","Crudia.t","Cussonia","Cuviera","Cyperace","Danielli","Desplats","Detarium","Dialium.","Dictyand","Diospyro","Dodonaea","Dorsteni","Dracaena","Drosera","Elaeis.g","Entada.t","Ephedra","Ericacea","Erytroxy","Euphorbi","Euphorbi.1","Flabella","Flacourt","Funtumia","Gaertner","Galium","Gentiana","Gomphren","Graminea","Grewia","Gynandro","Harpulia","Hedera","Heeria","Heliotro","Heritier","Hygrophi","Hymenoca","Hyperica","Hyphaene","Hypoeste","Icacina","Ilex.cf.","Indigofe","Iodes","Irvingia","Isoberli","Ixora","Jatropha","Justicia","Kedrosti","Khaya","Klainean","Kohautia","Lannea","Leea","Leonotis","Lepidaga","Leptaulu","Leucas","Liliacea","Linocier","Lophira","Lythrace","Macarang","Maerua.t","Maesa","Mallotus","Mammea.P","Manilkar","Melochia","Mesanthe","Milletia","Mimosa.X","Mimusops","Mitracar","Moltkia","Morus.ty","Mussaend","Myrica","Myriophy","Nauclea.","Newbould","Nitraria","Nuphar.l","Ochna","Ochnacea","Ocimum","Olea","Olea.cap","Oleaceae","Osyris","Papilion","Parinari","Paullini","Pavetta","Peganum","Pentacle","Pentas","Petersia","Phyllant","Piliosti","Plantago","Plumbagi","Podocarp","Podocarp.1","Polycarp","Polyceph","Polygala","Polygonu","Polygonu.1","Protea","Pseudopr","Psorospe","Psychotr","Pterocar","Pterolob","Pycnanth","Ranuncul","Rhamnace","Rhizopho","Rhus","Rhynchos","Ricinus.","Rothmann","Rubiacea","Rubiacea.1","Rytigyni","Sabicea","Salix.cf","Salvador","Sapotace","Sauvages","Schreber","Scleroca","Securine","Sesbania","Sherbour","Sindora","Solanum","Spathode","Spondian","Spondias","Sterculi","Stereosp","Syzygium","Tamarind","Tapinant","Tarenna","Teclea.t","Tephrosi","Tetrorch","Thymelae","Tribulus","Trichili","Typha.an","Typha.la","Uapaca","Umbellif","Virectar","Vitaceae","Welwitsc","Ximenia.","Zanthoxy","Zygophyl","Indeterm","Sporomor","Pteris","Monolete","Monolete.1","Monolete.2","Monolete.3","Trilete.","Trilete..1","Trilete..2","Cyathea","Lycopodi","Lygodium","Nephrole","Osmunda","Cheilant","Pteridiu","Pityrogr","Selagine","Chron1"
"115",0,0,1,0,0,0,0,0,0,22,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,12,0,1,1,0,0,1,0,3,0,0,0,3,0,0,4,0,0,0,0,1,0,1,0,0,70,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,153,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,1,0,0,1,0,0,0,0,1,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,4,0,0,0,0,0,0,1,4,0,5,20,55,8,8,15,0,1,0,0,0,2,2,0,0,0,1,23900
"125",0,1,1,0,1,0,0,0,1,20,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0,0,1,7,1,9,33,70,4,8,18,2,0,0,5,0,0,4,1,0,0,2,25144.4453125
"135",0,0,1,0,0,0,0,0,2,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,7,0,0,4,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,71,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,6,0,2,44,49,4,12,12,4,3,0,1,0,5,3,0,0,0,3,26388.888671875
"145",0,0,0,0,0,0,0,1,0,8,0,1,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,1,0,0,0,3,0,0,3,2,0,0,0,1,0,0,0,0,54,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,133,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,1,0,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,4,0,0,0,0,0,1,0,5,1,14,33,68,8,18,16,3,2,0,6,0,2,4,0,0,0,7,27633.333984375
"155",0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,4,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,4,0,4,38,64,4,14,4,0,4,0,3,0,2,0,0,0,0,7,28877.77734375
"165",0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,66,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,21,0,0,0,0,0,0,0,0,0,2,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,4,45,52,10,7,28,3,6,0,1,0,7,4,0,3,0,3,30944.4453125
"175",0,0,1,0,0,1,0,0,0,7,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,3,0,10,56,85,6,10,20,1,4,0,4,0,11,5,0,0,0,1,33833.33203125
"185",0,0,0,0,0,0,0,0,1,12,0,0,6,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,9,0,0,2,1,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,1,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,6,0,1,0,0,0,0,1,8,0,6,45,101,12,10,34,4,2,0,5,0,3,2,0,0,0,3,36722.22265625
"195",0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,5,0,0,0,0,0,0,0,1,1,8,60,115,18,19,25,0,3,0,2,0,4,4,0,0,0,3,39611.109375
"205",0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,8,0,8,0,0,0,0,0,2,0,4,0,8,19,74,5,17,22,0,0,1,1,0,15,0,0,0,0,1,42500
