,Rhizopho,Acrostic,Syzygium,Tabernae,Hollarrh,Strophan,Landolph,Uapaca,Alchorne,Mallotus,Tetrorch,Spondian,Phyllant,Celtis,Chaetacm,Anthocle,Sapotace,Carapa.t,Combreta,Arecacea,Elaeis.g,Borassus,Raphia.s,Phoenix,Ancistro,Symphoni,Pentades,Ceiba.pe,Deinboll,Cissus,Pentachl,Entada.a,Piptaden,Dichrost,Acacia,Mimosa.p,Triploch,Sterculi,Hildegar,Mansonia,Cola.typ,Berlinia,Cassia.t,Caesalpi,Nauclea.,Canthium,Scherbou,Ixora.sp,Chassali,Morelia.,Cuviera,Sabicea,Pavetta.,Psychotr,Gardenia,Rubiacea,Spathode,Grewia.t,Drepanoc,Lonchoca,Dalbergi,Aechynom,Sesbania,Lannea.t,Spondias,Diospyro,Cleistop,Monodora,Annona.s,Bosqueia,Milicia.,Adenia.l,Cleroden,Irvingia,Avicenni,Cnestis.,Allophyl,Blighia.,Paullini,Jasminum,Flabella,Musanga.,Pycnanth,Parinari,Lophira,Fabaceae,Secamone,Poaceae,Cyperace,Asterace,Amaranth,Nymphea,Cyrtospe,Polygonu,Dracaena,Cleome,Ludwigia,Croton.t,Borreria,Triumfet,Indigofe,Crotalar,Desmodiu,Tetracer,Justicia,Scoparia,Leonotis,Polygala,Ipomoea.,Typha,Other,Spores.m,Spores.t,Indeterm,Indeterm.1,Chron1,Chron10,Chron20
212,296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,5624.079102,6359.052734,6424.360352
222,446,4,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,5820.131348,6596.420898,6663.333984
232,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,6016.184082,6833.789551,6902.308105
242,800,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,6107.617188,6937.486816,7004.848633
252,742,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,3,11,0,0,6154.212891,6983.896484,7048.91748
262,864,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,6200.808594,7030.305664,7092.986816
272,1100,1,0,0,1,1,0,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,5,2,0,6247.404297,7076.715332,7137.055664
282,370,0,2,0,0,0,0,2,1,0,0,0,0,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,0,6294,7123.125,7181.125
302,820,3,0,0,0,0,0,3,38,0,0,0,0,2,0,8,0,0,0,0,1,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,1,0,6387.191406,7215.944336,7269.263184
312,324,1,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,6433.787109,7262.353516,7313.33252
322,1275,11,1,0,2,0,0,3,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2,0,6480.382813,7308.763184,7357.401367
