,Acacia,hcanthac,Adenia,Adiantum,Afraegle,Afzelia,Aiz.Verb,Albizia,Alchorne,Burnatia,Allophyl,Alstonia,Alternat,Amarant,Anacard,Annona,Anthocl,Antiaris,Antidesm,Aphania,Landolph,Apocynaceae,Arecace,Tub,Baissea,Balanite,Berlinia,Blighia,Bombax,Borass,Borreri,Crucifer,Bridelia,Bursera,Caesalp,Calamus,Canarium,Canthium,Capparis,Cardio,Cassia,Ceiba,Celtis,Ceratopt,Cissus,Clematis,Cnestis,Cola,Combreta,Commelin,Convolvu,Cordia,Croton,Crudia,Cucurund,Cussonia,Cycloso,Cynometr,Cyp,Dalber,Danielli,Desmodiu,Dialium,Diospyr,Dolichos,Drepano,Drypetes,Eichhorn,Elaeis,Erica,Erythro,Eugenia,Euphorbi,Fabac,Fagara,Ficus,Malphigi,Flacourt,Cucurb1,Glyphaea,Holoptel,Hymenoca,indet.,Ipomoea,Irvingia,Ixora,Justicia,Khaya,Labiatae,Leonotis,Lactucea,Lannea,Lasiod,Lauremb,Loranth,Ludwig,Macaran,Mallotus,Malvacea,Apocyn1,Menisper,Mimosa,Mimosac,Mitracar,Mitragy,Monocot,Moracea,Morelia,Morinda,Mussaend,Musanga,Nauclea,Neptunia,Nesogord,Nymphaea,Olea,Ouratea,tarinari,Passif,Paullini,Pentades,Pentodon,Tacazzea,Phoenix,Phyllant,Piptade,Poa,Podocarp,Polyga,Polyg,Portulac,Protea,Pteroc,Pteropsi,Pteropsi.1,Pycnant,Raphia,Rhizopho,Rothman,Rubiacea,Rutaceae,Saba,Salvinia,Sapinda,Sapotac,Securine,Solanum,Sterculi,Syzgi,Tetraple,Triploch,Typha,Uapaca,unknown,Urticace,Verbena,Celastra,Vitex
694,3,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,60,1,2,2,0,2,6,0,0,2,0,0,0,0,2,3,5,0,9,0,7,4,0,0,0,0,2,0,0,1,1,2,6,27,0,10,0,0,17,1,17,0,2,1,0,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,3,0,6,0,0,6,13,0,0,1,1,1,5,0,0,0,0,0,1,0,0,21,1,0,0,0,0,0,3,0,1,1,25,0,0,0,0,0,2,101,0,0,1,2,0,2,0,15,2,0,0,1,0
722,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,1,1,0,0,1,2,0,78,0,0,1,1,4,12,0,0,1,0,0,0,0,1,0,6,0,13,0,2,3,0,0,0,0,1,0,0,0,0,7,2,51,0,4,0,0,20,0,21,0,6,0,0,1,1,0,0,0,0,0,0,0,5,3,0,5,0,0,0,0,0,2,0,11,0,1,9,10,0,0,0,0,2,6,0,0,0,0,0,1,1,0,12,0,0,0,0,0,0,6,0,3,0,8,0,2,0,0,0,1,35,0,0,1,0,1,4,0,28,11,0,0,0,1
752,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,2,0,1,1,7,3,0,0,3,0,1,3,71,0,2,0,0,4,16,0,0,4,0,0,0,0,1,0,17,0,28,0,1,1,0,0,0,0,1,0,0,0,1,2,3,34,2,4,0,0,16,2,14,0,3,0,0,0,0,1,0,2,1,0,0,0,5,2,0,2,0,0,0,0,0,3,0,11,0,0,7,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,1,2,0,3,0,0,0,0,0,0,33,0,0,4,0,1,7,0,22,6,0,0,0,0
772,0,0,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,67,0,0,1,1,5,18,1,0,0,0,0,0,0,10,3,17,0,14,0,1,5,0,0,0,0,1,0,0,0,0,11,2,41,0,5,0,1,16,0,22,0,2,0,0,1,1,0,0,1,0,0,0,1,12,2,0,3,0,0,0,0,0,1,0,19,0,0,13,11,0,1,1,1,5,2,0,0,0,0,1,0,3,0,22,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,2,2,21,0,0,4,0,0,0,0,18,12,0,0,0,1
802,1,0,0,0,0,0,1,0,8,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,5,1,0,0,2,0,1,2,80,0,0,5,0,1,13,0,0,1,0,0,0,0,6,7,24,0,32,0,3,5,0,0,0,0,0,0,0,0,2,2,2,16,0,10,0,0,10,0,16,0,1,2,0,0,0,0,0,2,1,1,0,0,11,0,0,2,0,0,1,0,0,1,0,12,0,0,6,16,0,0,0,1,3,4,2,0,0,0,0,1,1,1,32,0,0,0,0,0,0,8,0,3,0,6,0,0,0,0,0,0,28,0,0,7,1,0,4,0,13,9,0,0,0,1
822,0,0,2,0,0,0,0,0,7,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,2,0,0,2,0,0,0,61,0,0,2,0,2,14,0,0,2,0,0,0,0,2,7,23,0,19,0,3,4,0,0,0,0,0,0,0,0,1,5,1,27,0,12,0,0,25,0,16,0,5,0,0,0,2,1,1,5,1,0,0,0,19,0,0,6,0,0,0,0,0,1,0,9,0,0,8,13,0,0,0,4,1,1,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,27,0,0,3,1,1,1,0,28,13,0,0,0,2
852,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,3,0,0,3,2,0,0,1,50,0,0,0,0,2,24,0,0,2,0,0,0,0,3,6,44,0,18,0,4,3,0,0,0,0,0,0,0,1,1,6,4,20,0,6,1,1,34,0,12,0,2,0,0,0,0,0,0,2,0,0,0,0,11,0,0,2,0,0,0,1,0,2,0,17,0,0,6,18,0,0,0,1,1,5,1,0,0,0,0,0,3,2,21,0,0,0,0,0,0,8,1,2,0,16,0,0,0,0,0,1,30,0,0,7,0,0,3,0,42,9,0,0,0,1
872,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,9,1,0,0,2,0,0,0,57,0,1,4,0,5,20,0,0,3,0,0,0,0,2,8,16,0,17,0,5,0,0,0,0,0,3,0,0,1,2,1,3,32,1,12,0,0,22,0,15,0,2,0,0,0,0,0,0,4,2,0,0,0,15,0,0,4,0,0,1,0,0,0,0,12,0,0,7,27,0,1,0,2,1,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,2,2,0,29,0,0,0,0,0,0,7,0,0,2,0,1,5,0,23,6,0,0,0,0
898,0,0,2,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,2,0,0,7,0,1,0,0,0,4,0,0,0,0,0,1,8,3,0,1,2,0,0,0,71,0,1,1,0,5,20,0,0,0,0,0,1,0,0,2,20,0,9,0,10,0,0,0,0,0,3,0,0,0,0,2,10,28,0,11,0,0,21,1,14,0,5,0,0,0,0,0,0,5,1,0,0,0,13,0,0,3,0,0,0,0,0,0,0,19,0,0,5,16,0,1,0,1,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,0,2,0,52,0,0,0,0,0,0,18,0,0,9,0,5,2,0,24,10,0,0,0,0
922,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,57,0,0,1,0,3,16,0,0,0,0,0,0,0,3,3,19,0,10,0,6,0,0,0,0,0,2,0,0,0,1,3,2,19,0,11,0,0,12,0,14,0,5,0,0,0,0,0,0,2,4,0,0,0,12,0,0,8,0,0,0,0,0,0,0,12,0,0,9,14,0,3,0,0,2,3,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,6,2,1,0,77,0,1,0,0,0,1,19,0,0,3,0,0,0,0,21,13,0,0,0,1
