"","Rhizopho","Acrostic","Avicenni","Syzygium","Alafia.t","Hollarhe","Alstonia","Strophan","Nelsonia","Tabernae","Landolph","Euphorbi","Uapaca","Alchorne","Antidesm","Maproune","Macarang","Mallotus","Euphorbi.1","Securine","Celtis","Chaetacm","Trema.ty","Anthocle","Sapotace","Carapa.p","Bequaert","Combreta","Laguncul","Terminal","Arecacea","Cocos.nu","Raphia","Elaeis.g","Calamus.","Phoenix","Symphoni","Pentades","Ceiba.pe","Cissus","Leea.gui","Pentachl","Piptaden","Entada.t","Acacia","Aubrevil","Albizia","Fabaceae","Drepanoc","Lonchoca","Pterocar","Milletia","Caesalpi","Berlinia","Dialium","Cassia.t","Detarium","Cordia","Brachyst","Afzelia.","Erythrox","Mezoneur","Triploch","Cola.typ","Sterculi","Mansonia","Oldenlad","Canthium","Cuviera","Mitragyn","Oxyanthu","Gardenia","Morelia.","Sabicea","Chassali","Macrosph","Fadogia.","Psychotr","Pavetta.","Gartnera","Spathode","Newbould","Grewia.t","Clappert","Triumfet","Lannea.t","Spondias","Anthroca","Diospyro","Annonace","Annona.s","Bosqueia","Adenia.l","Vitex.ty","Cleroden","Stachyta","Irvingia","Cnestis.","Tetracer","Deinboll","Allophyl","Pancovia","Blighia.","Lecaniod","Cardiosp","Paullini","Dodonaea","Jasminum","Flabella","Parinari","Cassipou","Merremia","Ipomoea.","Secamone","Pycnanth","Zanthoxy","Clausena","Lophira","Burserac","Canarium","Napoleon","Podocarp","Polycarp","Pandanus","Luffa.ty","Momordic","Icacinac","Sesamum","Talinum.","Cleome","Acanthac","Hyptis.t","Hippocra","Mitragyn.1","Borreria","Nauclea.","Vigna.ty","Crotalar","Canavali","Desmodiu","Tephrosi","Aechynom","Croton.t","Cucurlig","Poaceae","Cyperace","Asterace","Asterace.1","Amaranth","Polygonu","Ludwigia","Crinum.t","Araceae","Typha","Nymphea","Dinoflag","Spores.m","Spores.t","Selagine","Cyclosor","Pteris.t","Ceratopt","Indeterm","Indeterm.1","Chron1","Chron10","Chron20"
"200",3577,1,0,0,0,0,0,0,0,0,0,0,21,5,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,16,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4169.89892578125,4680.46826171875,4670.68017578125
"210",2217,1,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4491.6708984375,5059.77197265625,5050.64892578125
"220",2727,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4813.44287109375,5439.076171875,5430.6171875
"230",2040,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5135.21533203125,5818.3798828125,5810.58544921875
"240",3183,3,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,5456.9873046875,6197.68359375,6190.5537109375
"250",1001,4,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5778.75927734375,6576.9873046875,6570.52197265625
"260",3004,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,6008.3564453125,6847.05078125,6841.06689453125
"270",1325,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,6022.87890625,6862.220703125,6856.2900390625
"287",917,3,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,6047.56689453125,6888.009765625,6882.1689453125
"292",1260,6,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,6054.828125,6895.59423828125,6889.7802734375
