FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
CELASTRACEAE,Gymnosporia,ST,A,Maytenus,shrubs or trees,,,syn. Maytenus,Maytenus-type
CELASTRACEAE,Maytenus,ST,A,Maytenus,shrubs or trees,,,,Maytenus-type
CELASTRACEAE,Maytenus sp.,ST,A,Maytenus,shrubs or trees,,,,Maytenus-type
CELASTRACEAE,Maytenus-type,ST,A,Maytenus,shrubs or trees,,,,Maytenus-type
CHRYSOBALANACEAE,Chrysobalanus/Parina,ST,A,Chrysobalanus icaco/Parinari,trees or shrubs,,,mis-spelling,Chrysobalanus icaco/Parinari
CHRYSOBALANACEAE,Chrysobalanus/Parinari,ST,A,Chrysobalanus icaco/Parinari,trees or shrubs,,,,Chrysobalanus icaco/Parinari
CHRYSOBALANACEAE,Chrysobalanus type-icaco,ST,A,Chrysobalanus-type icaco,shrub or tree,,"Parinari (ST), Hirtella zanzibarica (A), some Magnistipulata (ST), Maranthes (ST), Dactyladenia (ST(L)), Rubus apetalus (S, ROSACEAE) ?",,Chrysobalanus-type icaco
CHRYSOBALANACEAE,Chrysobalanus-type,ST,A,Chrysobalanus-type icaco,shrub or tree,,"Parinari (ST), Hirtella zanzibarica (A), some Magnistipulata (ST), Maranthes (ST), Dactyladenia (ST(L)), Rubus apetalus (S, ROSACEAE) ?",,Chrysobalanus-type icaco
CHRYSOBALANACEAE,Chrysobalanus-type icaco,ST,A,Chrysobalanus-type icaco,shrub or tree,,"Parinari (ST), Hirtella zanzibarica (A), some Magnistipulata (ST), Maranthes (ST), Dactyladenia (ST(L)), Rubus apetalus (S, ROSACEAE) ?",,Chrysobalanus-type icaco
CHRYSOBALANACEAE,Parinari sp.,ST,A,Parinari-type,trees or shrubs,,"Chrysobalanus icaco (ST), Hirtella zanzibarica (A), some Magnistipula (ST), Maranthes (ST), Dactyladenia (ST(L)), Rubus apetalus (S, ROSACEAE) ?",,Parinari-type
CHRYSOBALANACEAE,Parinari type,ST,A,Parinari-type,trees or shrubs,,"Chrysobalanus icaco (ST), Hirtella zanzibarica (A), some Magnistipula (ST), Maranthes (ST), Dactyladenia (ST(L)), Rubus apetalus (S, ROSACEAE) ?",,Parinari-type
CHRYSOBALANACEAE,Parinaria sp.,ST,A,Parinari-type,trees or shrubs,,"Chrysobalanus icaco (ST), Hirtella zanzibarica (A), some Magnistipula (ST), Maranthes (ST), Dactyladenia (ST(L)), Rubus apetalus (S, ROSACEAE) ?",mis-spelling,Parinari-type
CHRYSOBALANACEAE,Parinari-type,ST,A,Parinari-type,trees or shrubs,,"Chrysobalanus icaco (ST), Hirtella zanzibarica (A), some Magnistipula (ST), Maranthes (ST), Dactyladenia (ST(L)), Rubus apetalus (S, ROSACEAE) ?",,Parinari-type
CISTACEAE,Cistus,S,A,Cistus,shrubby trees,,,not in Lebrun & Stork (N. Africa),Cistus
CISTACEAE,Cistus-type,S,A,Cistus,shrubby trees,,,not in Lebrun & Stork (N. Africa),Cistus
CLUSIACEAE,Allanblackia-type,T,A,Allanblackia ,trees,,,,Allanblackia 
CLUSIACEAE,Guttiferae,ST(H),A,Clusiaceae undiff.,"trees or shrubs, rarely subshrubs",,,syn. Clusiaceae,Clusiaceae undiff.
CLUSIACEAE,Garcinia epunctata,T,A,Garcinia epunctata-type,tree to 15 m high,,,,Garcinia epunctata-type
CLUSIACEAE,Garcinia epunctata-type,T,A,Garcinia epunctata-type,tree to 15 m high,,,,Garcinia epunctata-type
CLUSIACEAE,Garcinia kola,T,A,Garcinia kola-type,tree reaching 27 m high,,,,Garcinia kola-type
CLUSIACEAE,Garcinia livingstonei-type,ST,A,Garcinia livingstonei-type,shrub or tree 15 m high,,,,Garcinia livingstonei-type
CLUSIACEAE,Garcinia gnetoides-type,T,A,Garcinia gnetoides-type,tree to 15 m high,,,,Garcinia quadrifaria-type
CLUSIACEAE,Garcinia granulata,T,A,Garcinia granulata-type,small tree,,,,Garcinia quadrifaria-type
CLUSIACEAE,Garcinia granulata-type,T,A,Garcinia granulata-type,small tree,,,,Garcinia quadrifaria-type
CLUSIACEAE,,,A,Garcinia staudtii-type,Bushy tree to 12(-15) m,,,,Garcinia staudtii-type
CLUSIACEAE,Garcinia volkensii-type,ST,A,Garcinia volkensii-type,much-branched evergreen tree or shrub 4-20 m tall,,,,Garcinia volkensii-type
CLUSIACEAE,Mammea africana,T,A,Mammea africana-type,tall tree (15-)30-45 m tall,,,difference with M. usambarensis ?,Mammea africana-type
CLUSIACEAE,Mammea/Pentadesma,T,A,Mammea/Pentadesma,trees,,,,Mammea/Pentadesma
CLUSIACEAE,Pentadesma sp.,T,A,Pentadesma,trees,,,,Pentadesma
CLUSIACEAE,Pentadesma butyracea,T,A,Pentadesma butyracea-type,tree to 23 m high,,,,Pentadesma butyracea-type
CLUSIACEAE,Symphonia globulifera,T,A,Symphonia globulifera,tree (7.5-)15-25(-40) m tall,,,,Symphonia globulifera
CLUSIACEAE,Symphonia glubulifera,T,A,Symphonia globulifera,tree (7.5-)15-25(-40) m tall,,,mis-spelling,Symphonia globulifera
CLUSIACEAE,type Symphonia,T,A,Symphonia globulifera,tree (7.5-)15-25(-40) m tall,,,,Symphonia globulifera
COCHLOSPERMACEAE,Cochlospermum (type planchoni),S,A,Cochlospermum planchonii-type,shrub 2.5 m,,C. tinctorium (S),mis-spelling,Cochlospermum planchonii-type
COCHLOSPERMACEAE,Cochlospermum planchoni,S,A,Cochlospermum planchonii-type,shrub 2.5 m,,C. tinctorium (S),mis-spelling,Cochlospermum planchonii-type
COMBRETACEAE,Anogeissus-type,T,A,Anogeissus-type leiocarpus,tree up to 30 m high,,"some Terminalia (T(SL)), some Combretum (STL)",mis-spelling,Anogeissus-type leiocarpa 
COMBRETACEAE,Anogeissus-type leiocarpus,T,A,Anogeissus-type leiocarpus,tree up to 30 m high,,"some Terminalia (T(SL)), some Combretum (STL)",mis-spelling,Anogeissus-type leiocarpa 
COMBRETACEAE,Combretum cf. glutinosum,ST,A,Combretum-type glutinosum,tree to 10 m high,,,,Combretum-type glutinosum
COMBRETACEAE,Combretum glutinosum,ST,A,Combretum-type glutinosum,tree to 10 m high,,,,Combretum-type glutinosum
COMBRETACEAE,Combretum molle,T(S),A,Combretum-type molle,"semi-deciduous to deciduous small tree 5-7 m high, sometimes 10-17m, sometimes shrubby",,Terminalia brevipes (ST(L)),,Combretum-type molle
COMBRETACEAE,Combretum molle-type,T(S),A,Combretum-type molle,"semi-deciduous to deciduous small tree 5-7 m high, sometimes 10-17m, sometimes shrubby",,Terminalia brevipes (ST(L)),,Combretum-type molle
COMBRETACEAE,Combretum-type molle,T(S),A,Combretum-type molle,"semi-deciduous to deciduous small tree 5-7 m high, sometimes 10-17m, sometimes shrubby",,Terminalia brevipes (ST(L)),,Combretum-type molle
COMBRETACEAE,Conocarpus erectus,S,A,Conocarpus erectus-type,evergreen shrub 4-6 m high,,,difference with C. lancifolius?,Conocarpus erectus-type
COMBRETACEAE,Conocarpus erectus-type,S,A,Conocarpus erectus-type,evergreen shrub 4-6 m high,,,difference with C. lancifolius?,Conocarpus erectus-type
COMBRETACEAE,Terminalia (Combretaceae),T(SL),A,Terminalia-type,trees or rarely shrubs sometimes scandent,,"some Combretum (STL), Anogeissus leiocarpus (T)",,Terminalia-type
COMBRETACEAE,Terminalia sp.,T(SL),A,Terminalia-type,trees or rarely shrubs sometimes scandent,,"some Combretum (STL), Anogeissus leiocarpus (T)",,Terminalia-type
COMBRETACEAE,Terminalia-type,T(SL),A,Terminalia-type,trees or rarely shrubs sometimes scandent,,"some Combretum (STL), Anogeissus leiocarpus (T)",,Terminalia-type
COMBRETACEAE,Terminalia-type cattapa,T,A,Terminalia-type cattapa,deciduous tree 10-35 m tall,,,introduced,Terminalia-type cattapa
CONVOLVULACEAE,Hildebrantia,S,A,Hildebrandtia-type,branched xerophytic shrubs,,"Cressa cretica (H), Cladostigma dioicum (S), Dichondra micrantha (H), Cuscuta hyalina (HL)",mis-spelling,Hildebrandtia-type
CONVOLVULACEAE,Hildebrandia obcordata,S,A,Hildebrandtia-type obcordata,shrub to about 1 m tall,,H. sepalosa (S),mis-spelling,Hildebrandtia-type obcordata
CONVOLVULACEAE,Hildebrandtia-type obcordata,S,A,Hildebrandtia-type obcordata,shrub to about 1 m tall,,H. sepalosa (S),,Hildebrandtia-type obcordata
CORNACEAE,Afrocrania volkensii,T,A,Afrocrania volkensii,"tree, usually 18 m tall, but attaining 24 m",,,,Cornus volkensii
CORNACEAE,Cf Afrocrania,T,A,Afrocrania volkensii,"tree, usually 18 m tall, but attaining 24 m",,,,Cornus volkensii
CORYLACEAE,Carpinus bet.,T,A,Carpinus betulus-type,"deciduous tree, 12-20 m tall",,,not in Lebrun & Stork,Carpinus betulus-type
CORYLACEAE,Carpinus betulus,T,A,Carpinus betulus-type,"deciduous tree, 12-20 m tall",,,not in Lebrun & Stork,Carpinus betulus-type
CORYLACEAE,Carpinus orientalis-type,ST,A,Carpinus orientalis-type,large deciduous shrub to small tree,,,not in Lebrun & Stork,Carpinus orientalis-type
CORYLACEAE,Corylus,ST,A,Corylus,deciduous large shrubs or small trees,,,not in Lebrun & Stork,Corylus
CORYLACEAE,Ostrya/Carp. Orient.,ST,A,Ostrya/Carpinus orientalis-type,shrubs or trees,,,,Ostrya/Carpinus orientalis-type
CUPRESSACEAE,Cupressacée,ST,A,Cupressaceae undiff.,evergreen trees or shrubs,,,not in Lebrun & Stork,Cupressaceae undiff.
CUPRESSACEAE,Cupressacée non déterminée,ST,A,Cupressaceae undiff.,evergreen trees or shrubs,,,not in Lebrun & Stork,Cupressaceae undiff.
CUPRESSACEAE,Cupressacée non déterminés,ST,A,Cupressaceae undiff.,evergreen trees or shrubs,,,not in Lebrun & Stork,Cupressaceae undiff.
CUPRESSACEAE,Cupressacées (Ju/oidées),ST,A,Cupressaceae undiff.,evergreen trees or shrubs,,,not in Lebrun & Stork,Cupressaceae undiff.
CUPRESSACEAE,Cupressacées (Juniperoïdées),ST,A,Cupressaceae undiff.,evergreen trees or shrubs,,,not in Lebrun & Stork,Cupressaceae undiff.
CUPRESSACEAE,Cupressus sp.,T,A,Cupressus-type,evergreen trees,,"Juniperus (ST), Widdringtonia (ST)",not in Lebrun & Stork (N. Africa) Introduced and cultivated in East Africa,Cupressus-type
CUPRESSACEAE,Cupressus-type,T,A,Cupressus-type,evergreen trees,,"Juniperus (ST), Widdringtonia (ST)",not in Lebrun & Stork (N. Africa) Introduced and cultivated in East Africa,Cupressus-type
CUPRESSACEAE,Cupressus Dupreziana,T,A,Cupressus-type dupreziana,evergreen trees,,"Juniperus (ST), Widdringtonia (ST)",not in Lebrun & Stork (N. Africa) Introduced and cultivated in East Africa,Cupressus-type dupreziana
CUPRESSACEAE,Cupressus lusitanica,T,A,Cupressus-type lusitanica,evergreen tree,,"Juniperus (ST), Widdringtonia (ST)",not in Lebrun & Stork (N. Africa) Introduced and cultivated in East Africa,Cupressus-type lusitanica
CUPRESSACEAE,Juniperus,ST,A,Juniperus-type,evergreen shrubs or trees,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type
CUPRESSACEAE,Juniperus (Africa),ST,A,Juniperus-type,evergreen shrubs or trees,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type
CUPRESSACEAE,Juniperus sp.,ST,A,Juniperus-type,evergreen shrubs or trees,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type
CUPRESSACEAE,Juniperus-type,ST,A,Juniperus-type,evergreen shrubs or trees,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type
CUPRESSACEAE,Juniperus Excelsa,ST,A,Juniperus-type excelsa,evergreen shrubs or trees,,,not in Lebrun & Stork,Juniperus-type excelsa
CUPRESSACEAE,Juniperus phoenicea,ST,A,Juniperus-type phoenicea,shrub or small tree to 8 m high,,,,Juniperus-type phoenicea
CUPRESSACEAE,cf. Juniperus procera,T,A,Juniperus-type procera,evergreen tree to 30-50 m tall,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type procera
CUPRESSACEAE,Juniperus cf. J. procera,T,A,Juniperus-type procera,evergreen tree to 30-50 m tall,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type procera
CUPRESSACEAE,Juniperus procera,T,A,Juniperus-type procera,evergreen tree to 30-50 m tall,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type procera
CUPRESSACEAE,Juniperus procera type,T,A,Juniperus-type procera,evergreen tree to 30-50 m tall,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type procera
CUPRESSACEAE,Juniperus procera-type,T,A,Juniperus-type procera,evergreen tree to 30-50 m tall,,"Cupressus (T), Widdringtonia (ST)",not in Lebrun & Stork,Juniperus-type procera
DICHAPETALACEAE,Dichapetalum heudelotii,S,A,Dichapetalum heudelotii-type,shrub,,,,Dichapetalum heudelotii-type
DICHAPETALACEAE,Tapura fisherii,ST,A,Tapura fischeri-type,"evergreen shrub to small tree, up to 3 m",,,mis-spelling,Tapura fischeri-type
DICHAPETALACEAE,Taupra fisheri,ST,A,Tapura fischeri-type,"evergreen shrub to small tree, up to 3 m",,,mis-spelling,Tapura fischeri-type
DIDIEREACEAE,Alluaudia ascendens,T,A,Alluaudia ascendens,tree,,,"not in Lebrun & Stork; Madagascar: endemic genus, 6 sp",Alluaudia ascendens
DIDIEREACEAE,Decaryia,ST,A,Decarya madagascariensis,shrub or small tree,,,not in Lebrun & Stork; Madagascar: 1 endemic sp. ,Decarya madagascariensis
DIDIEREACEAE,Didierea,ST,A,Didierea,shrubs or small trees 6 m tall,,,"not in Lebrun & Stork; Madagascar: endemic genus, 2 sp",Didierea
DIDYMELACEAE,Didymeles (cf),T,A,Didymeles,small to medium-sized tree,,,"not in Lebrun & Stork; Madagascar: endemic genus, 2 sp.",Didymeles
DIPTEROCARPACEAE,Dipterocarpaceae undiff.,T,A,Dipterocarpaceae undiff.,small or large trees,,,,Dipterocarpaceae undiff.
DIPTEROCARPACEAE,Monotes kerstingii,T,A,Monotes kerstingii-type,"tree, to 15 m high, more usually 3-6 m high",,,,Monotes kerstingii-type
DIPTEROCARPACEAE,Monotes kerstingii-type,T,A,Monotes kerstingii-type,"tree, to 15 m high, more usually 3-6 m high",,,,Monotes kerstingii-type
DRACAENACEAE,Dracaena afromontana-type,S(T),A,Dracaena afromontana-type,"evergreen shrub or shrubby tree, 4-8 m tall",,D. steudneri (ST),,Dracaena afromontana-type
DRACAENACEAE,Dracaena schizantha-type,T,A,Dracaena schizantha-type,tree,,,,Dracaena ombet-type
DRACAENACEAE,Dracaena steudneri,ST,A,Dracaena steudneri-type,evergreen shrub to tall tree up to 15 (-25) m tall,,D. afromontana (S(T)),,Dracaena steudneri-type
DRACAENACEAE,Dracaena steudneri-type,ST,A,Dracaena steudneri-type,evergreen shrub to tall tree up to 15 (-25) m tall,,D. afromontana (S(T)),,Dracaena steudneri-type
DRACAENACEAE,Dracaena studneri-type,ST,A,Dracaena steudneri-type,evergreen shrub to tall tree up to 15 (-25) m tall,,D. afromontana (S(T)),mis-spelling,Dracaena steudneri-type
EBENACEAE,Cf Diospyros,ST,A,Diospyros,trees or shrubs,,,,Diospyros
EBENACEAE,cf. Diospyros,ST,A,Diospyros,trees or shrubs,,,Madagascar: 100 sp.,Diospyros
EBENACEAE,Diospyros,ST,A,Diospyros,trees or shrubs,,,,Diospyros
EBENACEAE,Diospyros sim.,ST,A,Diospyros,trees or shrubs,,,,Diospyros
EBENACEAE,Diospyros sp.,ST,A,Diospyros,trees or shrubs,,,,Diospyros
EBENACEAE,Diospyros-type,ST,A,Diospyros,trees or shrubs,,,,Diospyros
EBENACEAE,Maba,ST,A,Diospyros,trees or shrubs,,,syn. Diospyros,Diospyros
EBENACEAE,type Maba,ST,A,Diospyros,trees or shrubs,,,syn. Diospyros,Diospyros
EBENACEAE,Diospyros mespiliformis,T,A,Diospyros mespiliformis-type,evergreen to deciduous tree up to  27 m high,,,,Diospyros mespiliformis-type
EBENACEAE,Dispyros mespiliformis-type,T,A,Diospyros mespiliformis-type,evergreen to deciduous tree up to  27 m high,,,mis-spelling,Diospyros mespiliformis-type
EBENACEAE,Ebenaceae (autre espece),ST,A,Ebenaceae undiff.,trees or shrubs,,,,Ebenaceae undiff.
EBENACEAE,Ebenaceae undiff.,ST,A,Ebenaceae undiff.,trees or shrubs,,,,Ebenaceae undiff.
EBENACEAE,Euclea,ST,A,Euclea,"trees or shrubs, usually evergreen",,,,Euclea
EBENACEAE,Euclea comp.,ST,A,Euclea,"trees or shrubs, usually evergreen",,,,Euclea
EBENACEAE,Euclea sp.,ST,A,Euclea,"trees or shrubs, usually evergreen",,,,Euclea
EBENACEAE,Euclea-type,ST,A,Euclea,"trees or shrubs, usually evergreen",,,,Euclea
EBENACEAE,type Euclea,ST,A,Euclea,"trees or shrubs, usually evergreen",,,,Euclea
EBENACEAE,Euclea cf. divinorum,ST,A,Euclea divinorum-type,evergreen shrub or small tree up to 35 m tall,,,,Euclea divinorum-type
EBENACEAE,Euclea cf. E. divinorum,ST,A,Euclea divinorum-type,evergreen shrub or small tree up to 35 m tall,,,,Euclea divinorum-type
EPHEDRACEAE,Ephedra dist.Typ,S,A,Ephedra distachya-type,erect shrub up to 0.5 m high,,,not in Lebrun & Stork , Ephedra fragilis-type
EPHEDRACEAE,Ephedra dista,S,A,Ephedra distachya-type,erect shrub up to 0.5 m high,,,mis-spelling; not in Lebrun & Stork; native from SE Europe through Asia, Ephedra fragilis-type
EPHEDRACEAE,Ephedra distachia-type,S,A,Ephedra distachya-type,erect shrub up to 0.5 m high,,,mis-spelling; not in Lebrun & Stork , Ephedra fragilis-type
EPHEDRACEAE,Ephedra distachya,S,A,Ephedra distachya-type,erect shrub up to 0.5 m high,,,not in Lebrun & Stork , Ephedra fragilis-type
EPHEDRACEAE,Ephedra distachya-Typ,S,A,Ephedra distachya-type,erect shrub up to 0.5 m high,,,not in Lebrun & Stork , Ephedra fragilis-type
EPHEDRACEAE,Ephedra distachya-type,S,A,Ephedra distachya-type,erect shrub up to 0.5 m high,,,not in Lebrun & Stork , Ephedra fragilis-type
EPHEDRACEAE,Ephedra (alata),S,A,Ephedra alata-type,"erect shrub, 0.3-3 m high",,,not in Lebrun & Stork (N. Africa),Ephedra alata-type
EPHEDRACEAE,"Ephedra, type alata",S,A,Ephedra alata-type,"erect shrub, 0.3-3 m high",,,not in Lebrun & Stork (N. Africa),Ephedra alata-type
EPHEDRACEAE,Ephedra t major,S,A,Ephedra major-type,erect shrub,,,not in Lebrun & Stork ,Ephedra major-type
EPHEDRACEAE,Ephedra t.major,S,A,Ephedra major-type,erect shrub,,,not in Lebrun & Stork ,Ephedra major-type
ERICACEAE,Arbutus,T,A,Arbutus,small tree,,,not in Lebrun & Stork (N. Africa),Arbutus
ERICACEAE,Erica arborea+Agauria salicifolia,ST,A,Erica arborea/Agauria salicifolia,shrubs or small trees,,,,Erica arborea/Agauria salicifolia
ERICACEAE,Ericaceae (Africa),ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Ericaceae (dont 1 Erica arborea),ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Ericaceae (except Ficalhoa),ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Ericaceae (tetrad),ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Ericaceae undiff.,ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Ericaceae undifferentiated,ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Ericaceae/Vacciniaceae,ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Ericacée (dont 1 Ecrica arborea),ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",,,,Ericaceae undiff.
ERICACEAE,Erica (Africa),ST,A,Erica-type,"small trees, shrubs or subshrubs",,Agauria salicifolia (ST),Madagascar: 35 sp.,Erica-type
ERICACEAE,Erica sauf arborea,ST,A,Erica-type,"small trees, shrubs or subshrubs",,Agauria salicifolia (ST),Madagascar: 35 sp.,Erica-type
ERICACEAE,Philippia-type,ST,A,Erica-type,"small trees, shrubs or subshrubs",,Agauria salicifolia (ST),syn. Erica,Erica-type
ERICACEAE,Phillipia,ST,A,Erica-type,"small trees, shrubs or subshrubs",,Agauria salicifolia (ST),syn. Erica,Erica-type
ERICACEAE,Phillipia-type,ST,A,Erica-type,"small trees, shrubs or subshrubs",,Agauria salicifolia (ST),syn. Erica,Erica-type
ERICACEAE,Phillippia-type,ST,A,Erica-type,"small trees, shrubs or subshrubs",,Agauria salicifolia (ST),syn. Erica,Erica-type
ERICACEAE,Erica arborea,ST,A,Erica-type arborea,evergreen shrub or small tree up to 8 m tall,,,,Erica-type arborea
ERICACEAE,Erica arborea-type,ST,A,Erica-type arborea,evergreen shrub or small tree up to 8 m tall,,,,Erica-type arborea
ERICACEAE,Erica t. arborea,ST,A,Erica-type arborea,evergreen shrub or small tree up to 8 m tall,,,,Erica-type arborea
ERICACEAE,Erica t.arborea,ST,A,Erica-type arborea,evergreen shrub or small tree up to 8 m tall,,,,Erica-type arborea
ERICACEAE,Philippa comorensis-type,ST,A,Erica-type comorensis,shrub or small tree up to 6-8 m tall,,,syn.Erica ; sp. not in Lebrun & Stork,Erica-type comorensis
ERICACEAE,Philippia comorensis,ST,A,Erica-type comorensis,shrub or small tree up to 6-8 m tall,,,syn.Erica ; sp. not in Lebrun & Stork,Erica-type comorensis
ERICACEAE,Philippia comorensis-type,ST,A,Erica-type comorensis,shrub or small tree up to 6-8 m tall,,,syn.Erica ; sp. not in Lebrun & Stork,Erica-type comorensis
ERYTHROXYLACEAE,Erythroxylum sp.,ST,A,Erythroxylum,"evergreen trees, shrubs or shrublets",,,difference with Aneulophus africanus ? Madagascar: 26 sp. ,Erythroxylum
ERYTHROXYLACEAE,Erythroxylum-type,ST,A,Erythroxylum,"evergreen trees, shrubs or shrublets",,,,Erythroxylum
ERYTHROXYLACEAE,Erytroxylum,ST,A,Erythroxylum,"evergreen trees, shrubs or shrublets",,,mis-spelling,Erythroxylum
ESCALLONIACEAE,Escalloniaceae undiff.,ST,A,Choristylis rhamnoides,shrubs or small trees,,,,Choristylis rhamnoides
EUPHORBIACEAE,Cf Alchornea,ST,A,Alchornea,shrubs or trees,,,,Alchornea
EUPHORBIACEAE,Alchornea cordifolia,ST,A,Alchornea cordifolia-type,"straggling, evergreen creeper, shrub or small tree up to 8 m tall",,,,Alchornea cordifolia-type
EUPHORBIACEAE,Alchornea cordifolia-type,ST,A,Alchornea cordifolia-type,"straggling, evergreen creeper, shrub or small tree up to 8 m tall",,,,Alchornea cordifolia-type
EUPHORBIACEAE,Alchoruna cordifolia,ST,A,Alchornea cordifolia-type,"straggling, evergreen creeper, shrub or small tree up to 8 m tall",,,mis-spelling,Alchornea cordifolia-type
EUPHORBIACEAE,Alchornea hirtella,ST,A,Alchornea hirtella-type,shrub or small tree with slender arching stems up to 9 m tall,,,,Alchornea hirtella-type
EUPHORBIACEAE,Anthostema-type,T,A,Anthostema-type,trees,,Dichostemma glaucescens (T),,Anthostema-type
EUPHORBIACEAE,Anthostema aubryanum,T,A,Anthostema-type aubryanum,tree 9-12 m high or more,,,difference with A. senegalense ?,Anthostema-type aubryanum
EUPHORBIACEAE,Anthostema senegalense,T,A,Anthostema-type senegalense,tree,,Dichostemma glaucescens (T),,Anthostema-type senegalense
EUPHORBIACEAE,Antidesma t.,ST,A,Antidesma-type,shrubs or small trees,,some Thecacoris (ST),,Antidesma-type
EUPHORBIACEAE,Antidesma type,ST,A,Antidesma-type,shrubs or small trees,,some Thecacoris (ST),,Antidesma-type
EUPHORBIACEAE,Antidesma-type,ST,A,Antidesma-type,shrubs or small trees,,some Thecacoris (ST),,Antidesma-type
EUPHORBIACEAE,T. Antidesma,ST,A,Antidesma-type,shrubs or small trees,,some Thecacoris (ST),,Antidesma-type
EUPHORBIACEAE,t.Antidesma,ST,A,Antidesma-type,shrubs or small trees,,some Thecacoris (ST),,Antidesma-type
EUPHORBIACEAE,Antidesma membranaceum,ST,A,Antidesma-type membranaceum,"spreading shrub or small evergreen tree, sometimes straggling, 1-15 m tall",,,,Antidesma-type membranaceum
EUPHORBIACEAE,Antidesma venosum,ST,A,Antidesma-type venosum,"spreading shrub or small evergreen tree, sometimes straggling, 1-15 m tall",,Thecacoris leptobotrya (T(S)),,Antidesma-type venosum
EUPHORBIACEAE,Antidesma-type venosum,ST,A,Antidesma-type venosum,"spreading shrub or small evergreen tree, sometimes straggling, 1-15 m tall",,Thecacoris leptobotrya (T(S)),,Antidesma-type venosum
EUPHORBIACEAE,Bridelia (type ferruginea),ST,A,Bridelia ferruginea-type,shrub or small tree 1-8 m tall,,"B. micrantha (ST), B. brideliifolia (T(S)), B. atroviridis (ST)",,Bridelia ferruginea-type
EUPHORBIACEAE,Bridelia cf. ferruginea,ST,A,Bridelia ferruginea-type,shrub or small tree 1-8 m tall,,"B. micrantha (ST), B. brideliifolia (T(S)), B. atroviridis (ST)",,Bridelia ferruginea-type
EUPHORBIACEAE,Bridelia ferruginea,ST,A,Bridelia ferruginea-type,shrub or small tree 1-8 m tall,,"B. micrantha (ST), B. brideliifolia (T(S)), B. atroviridis (ST)",,Bridelia ferruginea-type
EUPHORBIACEAE,Bridelia ferruginea-type,ST,A,Bridelia ferruginea-type,shrub or small tree 1-8 m tall,,"B. micrantha (ST), B. brideliifolia (T(S)), B. atroviridis (ST)",,Bridelia ferruginea-type
EUPHORBIACEAE,Bridelia micrantha,ST,A,Bridelia micrantha-type,"shrub or much-branched tree 2-27 m tall, wirh scattered woody thorns",,"B. ferruginea (ST), B. brideliifolia (T(S)), B. atroviridis (ST)",,Bridelia micrantha-type
EUPHORBIACEAE,Bridelia micrantha-type,ST,A,Bridelia micrantha-type,"shrub or much-branched tree 2-27 m tall, wirh scattered woody thorns",,"B. ferruginea (ST), B. brideliifolia (T(S)), B. atroviridis (ST)",,Bridelia micrantha-type
EUPHORBIACEAE,Bridelia-type,ST,A,Bridelia-type,shrubs or trees,,"some Cleistanthus (ST), Savia fadenii (ST)",probably type ferruginea,Bridelia-type
EUPHORBIACEAE,Cf Bridelia,ST,A,Bridelia-type,shrubs or trees,,"some Cleistanthus (ST), Savia fadenii (ST)",probably type ferruginea,Bridelia-type
EUPHORBIACEAE,cf Bridelia,ST,A,Bridelia-type,shrubs or trees,,"some Cleistanthus (ST), Savia fadenii (ST)",probably type ferruginea,Bridelia-type
EUPHORBIACEAE,cf. Bridelia,ST,A,Bridelia-type,shrubs or trees,,"some Cleistanthus (ST), Savia fadenii (ST)",probably type ferruginea,Bridelia-type
EUPHORBIACEAE,Bridelia (type scelroneura),ST,A,Bridelia-type scleroneura,shrub or tree 1.5-10 m tall,,"some Cleistanthus(ST), Savia fadenii (ST); B. taitensis (ST), B. cathartica  (ST)",mis-spelling,Bridelia-type scleroneura
EUPHORBIACEAE,Bridelia scleroneura,ST,A,Bridelia-type scleroneura,shrub or tree 1.5-10 m tall,,"some Cleistanthus(ST), Savia fadenii (ST); B. taitensis (ST), B. cathartica  (ST)",,Bridelia-type scleroneura
